GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch 2600/100000 ||  loss: 0.000462372467154637 ||  loss_test: 0.0008258609450422227 || lr: [0.001]
**************************************************
Epoch 2650/100000 ||  loss: 0.0003946534707210958 ||  loss_test: 0.0007462997455149889 || lr: [0.001]
**************************************************
Epoch 2700/100000 ||  loss: 0.00042268092511221766 ||  loss_test: 0.0007718888227827847 || lr: [0.001]
**************************************************
Epoch 2750/100000 ||  loss: 0.00040308787720277905 ||  loss_test: 0.0007547829300165176 || lr: [0.001]
**************************************************
Epoch 2800/100000 ||  loss: 0.0004196169611532241 ||  loss_test: 0.0007557877688668668 || lr: [0.001]
**************************************************
Epoch 2850/100000 ||  loss: 0.0004071408184245229 ||  loss_test: 0.0007591003668494523 || lr: [0.001]
**************************************************
Epoch 2900/100000 ||  loss: 0.0003981285553891212 ||  loss_test: 0.0006576482555828989 || lr: [0.001]
**************************************************
Epoch 2950/100000 ||  loss: 0.00041773117845878005 ||  loss_test: 0.000653626979328692 || lr: [0.001]
**************************************************
Epoch 3000/100000 ||  loss: 0.002117566065862775 ||  loss_test: 0.0022782091982662678 || lr: [0.001]
**************************************************
Epoch 3050/100000 ||  loss: 0.00023348929244093597 ||  loss_test: 0.0005522404098883271 || lr: [0.001]
**************************************************
Epoch 3100/100000 ||  loss: 0.0002452571061439812 ||  loss_test: 0.0005560023710131645 || lr: [0.001]
**************************************************
Epoch 3150/100000 ||  loss: 0.0002533658407628536 ||  loss_test: 0.0005581305595114827 || lr: [0.001]
**************************************************
Epoch 3200/100000 ||  loss: 0.0001800722093321383 ||  loss_test: 0.0004864575166720897 || lr: [0.001]
**************************************************
Epoch 3250/100000 ||  loss: 0.002245876006782055 ||  loss_test: 0.002270100172609091 || lr: [0.001]
**************************************************
Epoch 3300/100000 ||  loss: 0.00013945458340458572 ||  loss_test: 0.00043338671093806624 || lr: [0.001]
**************************************************
Epoch 3350/100000 ||  loss: 0.0006565754301846027 ||  loss_test: 0.0008064827998168766 || lr: [0.001]
**************************************************
Epoch 3400/100000 ||  loss: 0.0001141908869612962 ||  loss_test: 0.00039982039015740156 || lr: [0.001]
**************************************************
Epoch 3450/100000 ||  loss: 0.0003063041076529771 ||  loss_test: 0.0006064007175154984 || lr: [0.001]
**************************************************
Epoch 3500/100000 ||  loss: 0.00010692990326788276 ||  loss_test: 0.0003859750577248633 || lr: [0.001]
**************************************************
Epoch 3550/100000 ||  loss: 0.0006877581472508609 ||  loss_test: 0.0008639442967250943 || lr: [0.001]
**************************************************
Epoch 3600/100000 ||  loss: 0.00010026642121374607 ||  loss_test: 0.00037185160908848047 || lr: [0.001]
**************************************************
Epoch 3650/100000 ||  loss: 0.0014927905285730958 ||  loss_test: 0.0024375326465815306 || lr: [0.001]
**************************************************
Epoch 3700/100000 ||  loss: 0.00010929262498393655 ||  loss_test: 0.00037585911923088133 || lr: [0.001]
**************************************************
Epoch 3750/100000 ||  loss: 0.0001123673573601991 ||  loss_test: 0.00038531117024831474 || lr: [0.001]
**************************************************
Epoch 3800/100000 ||  loss: 0.00010480292985448614 ||  loss_test: 0.0003642888041213155 || lr: [0.001]
**************************************************
Epoch 3850/100000 ||  loss: 8.42701701913029e-05 ||  loss_test: 0.0003404714516364038 || lr: [0.001]
**************************************************
Epoch 3900/100000 ||  loss: 0.00020580217824317515 ||  loss_test: 0.00044338504085317254 || lr: [0.001]
**************************************************
Epoch 3950/100000 ||  loss: 8.246261131716892e-05 ||  loss_test: 0.0003328670281916857 || lr: [0.001]
**************************************************
Epoch 4000/100000 ||  loss: 0.0001610090403119102 ||  loss_test: 0.00041946012061089277 || lr: [0.001]
**************************************************
